0	0.19	0.18
1	0.19	0.18
2	0.18	0.19
3	0.2	0.2
4	0.18	0.23
5	0.19	0.29
6	0.18	0.4
7	0.18	0.6
8	0.18	0.8
9	0.18	0.89
10	0.19	0.92
20	0.19	1.0
30	0.19	1.0
40	0.19	1.0
50	0.23	1.0
60	0.23	1.0
70	0.21	1.0
80	0.2	1.0
90	0.18	1.0
100	0.21	1.0
110	0.21	1.0
120	0.22	1.0
130	0.21	1.0
140	0.22	1.0
150	0.21	1.0
160	0.18	1.0
170	0.18	1.0
180	0.19	1.0
190	0.19	1.0
200	0.19	1.0
210	0.2	1.0
220	0.24	1.0
230	0.24	1.0
240	0.25	1.0
250	0.22	1.0
260	0.23	0.99
270	0.2	0.18
280	0.22	0.98
290	0.25	1.0
300	0.25	1.0
310	0.23	1.0
320	0.2	1.0
330	0.19	1.0
340	0.18	1.0
350	0.18	0.96
